EntryPrice,ExitPrice,Qty,PL_Dollars,PL_Percent,ExitDate,ExitReason,Ticker
34.64,32.85,0.366916859,-0.66,-5.17,2026-02-06 14:30:05,Alpaca Fill,WERN
59.8,62.08,0.9075250829999999,2.07,3.81,2026-02-05 16:29:38,Alpaca Fill,CARR
8.9,8.45,133.760674157,-60.19,-5.06,2026-02-05 16:17:06,Alpaca Fill,AGRO
91.47,94.05,13.014443593,33.53,2.82,2026-02-05 14:42:37,Alpaca Fill,CF
208.88,212.67,5.699301034,21.58,1.81,2026-02-05 14:32:03,Alpaca Fill,LNG
12.77,12.03,93.214565387,-69.09,-5.79,2026-02-05 14:30:01,Alpaca Fill,CMBT
150.12,142.77,7.929865458,-58.34,-4.9,2026-02-05 14:30:01,Alpaca Fill,BIDU
26.12,26.55,45.572904707,19.49,1.64,2026-02-04 18:25:47,Alpaca Fill,EQNR
98.42,99.65,12.095813858,14.88,1.25,2026-02-04 16:41:20,Alpaca Fill,IPAR
59.8,60.5,19.0,13.3,1.17,2026-02-04 00:55:47,Alpaca Fill,CARR
92.87,94.27,12.0,16.8,1.51,2026-02-03 21:50:07,Alpaca Fill,WFRD
31.52,31.81,37.768718274,10.82,0.91,2026-02-03 18:18:20,Alpaca Fill,RTO
24.79,25.11,48.022186365,15.17,1.27,2026-02-03 18:14:15,Alpaca Fill,MGY
43.94,44.35,27.094262295,11.16,0.93,2026-02-03 18:14:13,Alpaca Fill,OXY
7.06,7.2,168.0,23.52,1.98,2026-02-03 18:07:39,Alpaca Fill,OBE
32.99,33.32,36.08578357,11.91,1.0,2026-02-03 18:00:06,Alpaca Fill,HAL
354.38,368.52,3.359303572,47.5,3.99,2026-02-03 17:40:28,Alpaca Fill,ETN
28.77,29.27,41.378866875,20.69,1.74,2026-02-03 17:19:53,Alpaca Fill,EWTX
4.08,4.16,291.781862745,23.34,1.96,2026-02-03 17:11:18,Alpaca Fill,BBD
7.5,7.71,0.729333333,0.15,2.8,2026-02-03 17:02:14,Alpaca Fill,VIR
199.72,197.44,5.960694972,-13.56,-1.14,2026-02-03 16:21:31,Alpaca Fill,RH
11.82,11.2,100.716582064,-62.44,-5.25,2026-02-03 15:35:18,Alpaca Fill,DAWN
21.69,22.7,54.885661595,55.43,4.66,2026-02-03 15:29:45,Alpaca Fill,DNLI
14.79,15.03,80.491548343,19.32,1.62,2026-02-03 15:23:42,Alpaca Fill,AMLX
2.32,2.34,513.129310344,10.26,0.86,2026-02-03 15:13:38,Alpaca Fill,CRNT
26.72,27.08,44.553517964,16.04,1.35,2026-02-03 15:13:09,Alpaca Fill,BEN
47.89,48.37,0.858425558,0.41,1.0,2026-02-03 15:13:07,Alpaca Fill,SLB
17.34,17.57,68.65455594,15.79,1.33,2026-02-03 15:12:38,Alpaca Fill,HLF
68.21,66.69,17.0,-25.84,-2.23,2026-02-03 15:07:25,Alpaca Fill,ADM
18.27,18.43,0.159824849,0.03,0.88,2026-02-03 15:00:31,Alpaca Fill,NOV
47.99,48.46,24.80662638,11.66,0.98,2026-02-03 14:59:32,Alpaca Fill,MEOH
252.53,254.33,4.714172573,8.49,0.71,2026-02-03 14:57:59,Alpaca Fill,FERG
24.09,24.44,0.417600664,0.15,1.45,2026-02-03 14:57:28,Alpaca Fill,NOG
46.95,47.57,25.356123535,15.72,1.32,2026-02-03 14:56:58,Alpaca Fill,FLR
55.43,56.57,21.476998015,24.48,2.06,2026-02-03 14:56:27,Alpaca Fill,WHD
11.46,11.45,103.87543554,-0.92,-0.08,2026-02-03 14:56:25,Alpaca Fill,PAGS
54.84,57.76,21.70805981,63.33,5.32,2026-02-03 14:55:55,Alpaca Fill,PCVX
10.7,11.01,111.258878504,34.49,2.9,2026-02-03 14:52:23,Alpaca Fill,SSYS
5.87,5.92,202.805792163,10.14,0.85,2026-02-03 14:43:22,Alpaca Fill,FIP
8.76,8.9,135.898401826,19.03,1.6,2026-02-03 14:38:16,Alpaca Fill,SFL
15.34,15.52,77.605606258,13.97,1.17,2026-02-03 14:37:45,Alpaca Fill,HE
34.64,36.17,34.0,51.94,4.41,2026-02-03 14:32:16,Alpaca Fill,WERN
944.34,951.0,1.0,6.66,0.71,2026-02-03 01:01:03,Alpaca Fill,COST
18.27,18.25,65.0,-1.3,-0.11,2026-02-02 21:25:25,Alpaca Fill,NOV
24.09,23.7,49.0,-19.11,-1.62,2026-02-02 21:10:20,Alpaca Fill,NOG
7.5,7.65,158.0,23.7,2.0,2026-02-02 21:07:19,Alpaca Fill,VIR
47.89,47.5,24.0,-9.36,-0.81,2026-02-02 21:06:18,Alpaca Fill,SLB
18.87,18.85,63.087970323,-1.26,-0.11,2026-02-02 20:58:44,Alpaca Fill,PRMB
38.24,38.16,31.131537656,-2.49,-0.21,2026-02-02 20:52:41,Alpaca Fill,SDRL
16.66,15.82,71.456782713,-60.02,-5.04,2026-02-02 20:52:11,Alpaca Fill,MLTX
33.54,34.11,35.49403697,20.23,1.7,2026-02-02 20:51:41,Alpaca Fill,HP
35.38,35.88,33.648106274,16.82,1.41,2026-02-02 20:47:07,Alpaca Fill,NE
9.7,9.21,122.0,-59.78,-5.05,2026-02-02 20:29:31,Alpaca Fill,VG
20.8,21.01,57.234134615,12.02,1.01,2026-02-02 20:19:27,Alpaca Fill,GLUE
4.94,5.03,240.985829959,21.69,1.82,2026-02-02 20:17:31,Alpaca Fill,EGY
18.06,18.06,65.917497231,0.0,0.0,2026-02-02 20:05:21,Alpaca Fill,SNCY
11.87,11.97,100.292333614,10.03,0.84,2026-02-02 20:00:19,Alpaca Fill,WTTR
8.33,8.45,142.913565426,17.12,1.44,2026-02-02 20:00:19,Alpaca Fill,OIS
5.35,5.05,222.0,-66.6,-5.61,2026-02-02 20:00:18,Alpaca Fill,GTE
3.53,3.58,337.0,16.42,1.38,2026-02-02 19:59:49,Alpaca Fill,KULR
87.97,87.92,13.532681595,-0.68,-0.06,2026-02-02 19:33:38,Alpaca Fill,LRN
19.56,19.79,60.862474437,14.0,1.18,2026-02-02 19:30:07,Alpaca Fill,XP
5.51,5.62,216.056261343,23.77,2.0,2026-02-02 19:30:07,Alpaca Fill,ALT
13.68,13.82,87.022660818,12.18,1.02,2026-02-02 19:04:58,Alpaca Fill,GRRR
42.34,44.27,28.116910722,54.27,4.56,2026-02-02 19:00:54,Alpaca Fill,MRNA
8.65,8.75,137.626589595,13.76,1.16,2026-02-02 18:59:56,Alpaca Fill,NVAX
40.78,40.76,29.192496321,-0.58,-0.05,2026-02-02 18:35:46,Alpaca Fill,KNTK
10.85,10.33,109.720737327,-57.05,-4.79,2026-02-02 18:29:12,Alpaca Fill,ERAS
96.0,91.16,12.400729166,-60.02,-5.04,2026-02-02 18:11:37,Alpaca Fill,CNR
6.93,7.02,171.784992784,15.46,1.3,2026-02-02 18:11:36,Alpaca Fill,SSL
6.27,6.37,189.867623604,18.99,1.59,2026-02-02 17:13:48,Alpaca Fill,ANNX
11.5,11.64,103.519130434,14.49,1.22,2026-02-02 16:32:05,Alpaca Fill,AESI
50.94,50.82,23.370043188,-2.8,-0.24,2026-02-02 16:26:06,Alpaca Fill,GBCI
11.36,11.51,104.794894366,15.72,1.32,2026-02-02 15:27:47,Alpaca Fill,PUMP
3.8,3.92,313.0,37.56,3.16,2026-02-02 15:27:12,Alpaca Fill,SLS
4.58,4.64,259.927947598,15.6,1.31,2026-02-02 15:26:42,Alpaca Fill,BORR
15.93,16.13,74.731324544,14.95,1.26,2026-02-02 15:23:39,Alpaca Fill,XPRO
5.7,5.75,208.0,10.4,0.88,2026-02-02 15:08:03,Alpaca Fill,ZURA
9.35,8.85,127.322994652,-63.66,-5.35,2026-02-02 14:59:30,Alpaca Fill,SOC
9.4,8.86,128.0,-69.12,-5.74,2026-02-02 14:55:29,Alpaca Fill,IMSR
5.72,5.78,208.124125874,12.49,1.05,2026-02-02 14:52:27,Alpaca Fill,CTMX
2.77,2.62,429.0,-64.35,-5.42,2026-02-02 14:49:24,Alpaca Fill,SIDU
5.66,5.64,210.330388692,-4.21,-0.35,2026-02-02 14:48:53,Alpaca Fill,CMTL
7.91,7.9,150.501896333,-1.51,-0.13,2026-02-02 14:47:53,Alpaca Fill,AXL
3.65,3.66,326.156164383,3.26,0.27,2026-02-02 14:44:21,Alpaca Fill,INDO
35.6,35.3,33.440168539,-10.03,-0.84,2026-02-02 14:42:20,Alpaca Fill,AMTM
5.11,4.75,232.968688845,-83.87,-7.05,2026-02-02 14:41:20,Alpaca Fill,ASTI
5.06,5.15,235.0,21.15,1.78,2026-02-02 14:41:19,Alpaca Fill,THAR
19.42,19.48,60.0,3.4,0.29,2026-02-02 14:41:18,Alpaca Fill,WYFI
